,id,outage,left,top,right,bottom,HISTO_0,HISTO_1,HISTO_5,HISTO_6,HISTO_8,HISTO_10,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,HISTO_NODATA
2,23633,100.0,2076340,-127750,2076840,-128250,0.0,0.0,21.79930795847751,2.0761245674740483,0.0,0.0,23.52941176470588,42.56055363321799,0.0,10.034602076124568,0.0,0.0
4,23631,100.0,2076340,-126750,2076840,-127250,0.0,0.0,63.667820069204154,5.536332179930796,0.0,0.0,2.422145328719723,15.570934256055363,0.0,12.802768166089965,0.0,0.0
5,23630,100.0,2076340,-126250,2076840,-126750,0.0,0.0,97.92387543252595,0.0,0.0,0.0,0.0,0.0,0.0,2.0761245674740483,0.0,0.0
9,23626,100.0,2076340,-124250,2076840,-124750,0.0,0.0,73.52941176470588,0.0,0.0,0.0,6.61764705882353,11.397058823529411,0.0,8.455882352941178,0.0,0.0
11,23624,100.0,2076340,-123250,2076840,-123750,0.0,0.0,37.37024221453287,24.567474048442904,0.0,1.0380622837370241,10.034602076124568,16.608996539792386,0.0,9.342560553633218,1.0380622837370241,0.0
12,23623,100.0,2076340,-122750,2076840,-123250,0.0,0.0,38.970588235294116,3.308823529411765,0.0,0.7352941176470588,7.720588235294118,0.0,0.0,1.4705882352941175,47.794117647058826,0.0
13,48179,100.0,2099340,-95750,2099840,-96250,0.0,0.0,68.75,0.7352941176470588,0.0,0.0,8.088235294117647,0.7352941176470588,0.0,21.691176470588236,0.0,0.0
14,48180,100.0,2099340,-96250,2099840,-96750,0.0,0.0,73.01038062283737,0.0,0.34602076124567477,0.6920415224913495,10.380622837370241,2.768166089965398,0.0,12.802768166089965,0.0,0.0
15,48181,100.0,2099340,-96750,2099840,-97250,0.0,0.0,84.08304498269896,0.0,0.6920415224913495,0.0,13.148788927335639,0.0,0.0,2.0761245674740483,0.0,0.0
16,48182,100.0,2099340,-97250,2099840,-97750,0.0,0.0,74.26470588235294,0.0,0.0,0.0,18.75,0.0,0.0,6.985294117647059,0.0,0.0
17,48183,100.0,2099340,-97750,2099840,-98250,0.0,4.1522491349480966,37.37024221453287,4.1522491349480966,0.0,0.0,47.75086505190311,0.0,0.0,6.5743944636678195,0.0,0.0
18,23614,100.0,2076340,-118250,2076840,-118750,0.0,0.0,54.779411764705884,14.338235294117647,0.0,0.0,0.3676470588235294,0.0,0.0,30.514705882352942,0.0,0.0
19,48184,100.0,2099340,-98250,2099840,-98750,0.0,13.148788927335639,58.13148788927336,15.570934256055363,0.0,0.0,7.26643598615917,0.0,0.0,5.88235294117647,0.0,0.0
20,48185,100.0,2099340,-98750,2099840,-99250,0.0,2.2058823529411766,54.04411764705882,0.0,0.0,0.0,37.5,0.0,0.0,6.25,0.0,0.0
22,23635,100.0,2076340,-128750,2076840,-129250,0.0,0.0,57.720588235294116,3.6764705882352944,0.0,0.0,19.11764705882353,9.558823529411764,0.0,9.926470588235293,0.0,0.0
24,23650,100.0,2076340,-136250,2076840,-136750,0.0,0.0,0.0,0.0,0.0,0.0,6.985294117647059,92.27941176470588,0.0,0.7352941176470588,0.0,0.0
25,23661,100.0,2076340,-141750,2076840,-142250,0.0,0.0,70.24221453287197,14.186851211072666,2.422145328719723,2.0761245674740483,0.0,3.8062283737024223,0.0,7.26643598615917,0.0,0.0
27,23659,100.0,2076340,-140750,2076840,-141250,0.0,0.0,84.19117647058823,7.720588235294118,0.0,0.0,0.0,7.720588235294118,0.0,0.3676470588235294,0.0,0.0
28,47736,100.0,2098840,-141750,2099340,-142250,0.0,0.0,80.96885813148789,2.0761245674740483,0.0,0.0,1.384083044982699,0.0,0.0,15.570934256055363,0.0,0.0
29,23656,100.0,2076340,-139250,2076840,-139750,0.0,0.0,25.735294117647058,0.0,0.0,0.0,2.5735294117647056,61.39705882352941,0.0,10.294117647058822,0.0,0.0
30,23655,100.0,2076340,-138750,2076840,-139250,0.0,0.0,20.069204152249135,0.0,0.0,0.0,11.072664359861593,48.44290657439446,0.0,20.415224913494807,0.0,0.0
31,23652,100.0,2076340,-137250,2076840,-137750,0.0,0.0,60.553633217993074,10.726643598615917,0.0,0.0,11.418685121107266,14.186851211072666,0.0,1.384083044982699,1.7301038062283738,0.0
32,23651,100.0,2076340,-136750,2076840,-137250,0.0,0.0,25.951557093425603,2.0761245674740483,0.0,0.0,0.0,56.05536332179931,0.0,15.916955017301039,0.0,0.0
